RECALL_NUMBER,StartDate,EndDate,Incident_NumItems,Incident_UniqueProducts,Incident_BrandsInvolved,BrandList,Incident_Pathogen,Incident_Severity,Incident_DurationDays
15532,2023-06-08 11:00:00,2023-06-08 11:00:00,1,1,1,tit-bit,microbiological (pathogenic) bacillus cereus,Class II,0
15545,2023-06-06 14:34:00,2023-06-06 14:34:00,1,1,1,olam food ingredients (ofi),microbiological (pathogenic) salmonella,Class II,0
15542,2023-06-02 18:34:00,2023-06-02 18:34:00,1,1,1,nature's pick,microbiological (pathogenic) listeria,Class I,0
15547,2023-06-01 15:00:00,2023-06-01 15:00:00,1,1,1,goose point oysters,microbiological (quality) generic e.coli,Class II,0
15535,2023-05-27 19:39:00,2023-05-27 19:39:00,1,1,1,kootenay meadows,"microbiological (pathogenic) staphylococcus aureus, microbiological (quality) generic e.coli",Class II,0
15530,2023-05-23 21:14:00,2023-05-23 21:14:00,1,1,1,simply hot,microbiological (pathogenic) salmonella,Class II,0
15529,2023-05-19 17:32:00,2023-05-19 17:32:00,3,3,2,"unknown, uruthira",microbiological (pathogenic) bacillus cereus,Class II,0
15520,2023-05-17 13:57:00,2023-05-17 13:57:00,2,1,1,post spoon sized shredded wheat original < anglais seulement >,microbiological (quality) molds,Class III,0
15522,2023-05-17 13:05:00,2023-05-17 13:05:00,1,1,1,golden mushroom,microbiological (pathogenic) listeria,Class I,0
15501,2023-05-05 15:02:00,2023-05-05 15:02:00,1,1,1,none / aucune,microbiological (pathogenic) bacillus cereus,Class II,0
15505,2023-05-03 15:21:00,2023-05-03 15:21:00,1,1,1,fermes trudeau farms inc,microbiological (pathogenic) salmonella,Class II,0
15476,2023-04-17 11:02:00,2023-04-17 11:02:00,1,1,1,none / aucune,microbiological (pathogenic) bacillus cereus,Class II,0
15450,2023-03-30 08:54:00,2023-03-30 08:54:00,1,1,1,komera original,microbiological (pathogenic) clostridium botulinum,Class I,0
15462,2023-03-29 16:00:00,2023-03-29 16:00:00,4,3,2,"no name / sans nom, selection",microbiological (other),Class III,0
15461,2023-03-29 09:27:00,2023-03-29 09:27:00,1,1,1,solstice ciderworks,microbiological (quality) yeasts,Class III,0
15448,2023-03-22 21:01:00,2023-03-22 21:01:00,1,1,1,nuba,microbiological (pathogenic) clostridium botulinum,Class I,0
15438,2023-03-21 12:36:00,2023-03-21 12:36:00,1,1,1,nuba,microbiological (pathogenic) clostridium botulinum,Class I,0
15444,2023-03-18 11:00:00,2023-03-18 11:00:00,1,1,1,nestle,microbiological (other),Class II,0
15416,2023-02-24 16:45:00,2023-02-24 16:45:00,3,3,2,"maple dale cheese co. and pc, maple dale cheese co./ (anglais seulement)",microbiological (pathogenic) listeria,Class I,0
15410,2023-02-24 10:01:00,2023-02-24 10:01:00,2,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15408,2023-02-22 12:28:00,2023-02-22 12:28:00,1,1,1,1001 fondues,microbiological (pathogenic) listeria,Class I,0
15406,2023-02-18 10:35:00,2023-02-18 10:35:00,14,14,1,1001 fondues,microbiological (pathogenic) listeria,Class I,0
15409,2023-02-17 21:53:00,2023-02-17 21:53:00,2,1,1,maple dale cheese co./ (anglais seulement),microbiological (pathogenic) listeria,Class I,0
15403,2023-02-16 15:45:00,2023-02-16 15:45:00,1,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15401,2023-02-15 15:57:00,2023-02-15 15:57:00,1,1,1,pc,microbiological (pathogenic) listeria,Class I,0
15399,2023-02-15 14:53:00,2023-02-15 14:53:00,1,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15398,2023-02-15 09:57:00,2023-02-15 09:57:00,12,11,1,1001 fondues,microbiological (pathogenic) listeria,Class I,0
15397,2023-02-13 10:09:00,2023-02-13 10:09:00,30,26,4,"freshfun fantastic, fromage au village, le fromage au village, le fromage au village inc.",microbiological (pathogenic) listeria,Class I,0
15396,2023-02-10 19:05:00,2023-02-10 19:05:00,2,1,1,le fromage au village,microbiological (pathogenic) listeria,Class I,0
15386,2023-02-06 17:23:00,2023-02-06 17:23:00,1,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15363,2023-01-25 15:23:00,2023-01-25 15:23:00,2,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15333,2023-01-20 13:09:00,2023-01-20 13:09:00,1,1,1,dubon,"extraneous material (non-harmful) insect, microbiological (quality) molds",Class III,0
15366,2023-01-19 15:26:00,2023-01-19 15:26:00,4,4,2,"la vache à maillotte, le fromage au village",microbiological (pathogenic) listeria,Class I,0
15367,2023-01-15 21:35:00,2023-01-15 21:35:00,1,1,1,la vache à maillotte,microbiological (pathogenic) listeria,Class I,0
15360,2023-01-14 10:00:00,2023-01-14 10:00:00,1,1,1,le cendré de notre-dame,microbiological (pathogenic) listeria,Class I,0
15342,2022-12-27 18:30:00,2022-12-27 18:30:00,1,1,1,igor,microbiological (pathogenic) listeria,Class I,0
15324,2022-12-20 17:06:00,2022-12-20 17:06:00,3,3,1,loop mission,microbiological (quality) yeasts,Class III,0
15335,2022-12-19 19:00:00,2022-12-19 19:00:00,1,1,1,venetian meats,microbiological (pathogenic) salmonella,Class II,0
15331,2022-12-16 17:04:00,2022-12-16 17:04:00,1,1,1,igor,microbiological (pathogenic) listeria,Class I,0
15316,2022-12-08 16:20:00,2022-12-08 16:20:00,1,1,1,igor,microbiological (pathogenic) listeria,Class I,0
15282,2022-11-17 21:15:00,2022-11-17 21:15:00,1,1,1,mounet group,microbiological (pathogenic) clostridium botulinum,Class I,0
15253,2022-11-16 12:34:00,2022-11-16 12:34:00,1,1,1,silk,microbiological (other),Class III,0
15249,2022-11-07 10:40:00,2022-11-07 10:40:00,1,1,1,loop mission,microbiological (quality) yeasts,Class III,0
15234,2022-10-24 14:06:00,2022-10-24 14:06:00,1,1,1,family's choice distribution,microbiological (pathogenic) salmonella,Class II,0
15231,2022-10-20 17:13:00,2022-10-20 17:13:00,1,1,1,unreal,microbiological (pathogenic) salmonella,Class II,0
15228,2022-10-18 15:56:00,2022-10-18 15:56:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15217,2022-10-18 10:52:00,2022-10-18 10:52:00,1,1,1,similac,microbiological (other),Class III,0
15218,2022-10-14 18:17:00,2022-10-14 18:17:00,16,16,1,circle k / couche tard,microbiological (pathogenic) listeria,Class I,0
15210,2022-10-06 20:10:00,2022-10-06 20:10:00,2,2,1,circle k / couche tard,microbiological (pathogenic) listeria,Class I,0
15208,2022-10-06 18:00:00,2022-10-06 18:00:00,6,6,2,"nature’s best, zavat chalav",microbiological (pathogenic) listeria,Class I,0
15207,2022-10-04 19:41:00,2022-10-04 19:41:00,3,3,2,"nature’s best, zavat chalav",microbiological (pathogenic) listeria,Class I,0
15202,2022-10-04 16:13:00,2022-10-04 16:13:00,1,1,1,unknown,microbiological (pathogenic) listeria,Class I,0
15190,2022-09-27 10:37:00,2022-09-27 10:37:00,19,5,19,"4"" of pleasure / « 4"" of pleasure  », acadian gold oysters / « acadian gold oysters », acadian pearl oysters / « acadian pearl oysters », baccarat, capitaine barney oysters / capitaine barney, coffret de l'acadie, honeymoon / « honeymoon », lucille's/ lucilles, mer bleu/ mer bleu, mermaid/ mermaid, mistral/ mistral, no. 69 / « no. 69 », nuit blanche, opus, point. g / « point. g », sex on the bay / « sex on the bay », shuck norris/ shuck norris, umami, village bay/ village bay",microbiological (pathogenic) salmonella,Class II,0
15196,2022-09-20 21:49:00,2022-09-20 21:49:00,1,1,1,fresh and local,microbiological (pathogenic) listeria,Class I,0
15194,2022-09-18 16:10:00,2022-09-18 16:10:00,1,1,1,k-fresh fresh produce,microbiological (pathogenic) listeria,Class I,0
15169,2022-09-02 16:00:00,2022-09-02 16:00:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15166,2022-09-02 14:58:00,2022-09-02 14:58:00,1,1,1,bonvallis,microbiological (quality) generic e.coli,Class II,0
15162,2022-08-31 10:32:00,2022-08-31 10:32:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15159,2022-08-30 13:03:00,2022-08-30 13:03:00,1,1,1,lamb's supreme,microbiological (pathogenic) listeria,Class I,0
15150,2022-08-26 15:10:00,2022-08-26 15:10:00,1,1,1,none / aucune,"microbiological (other), microbiological (pathogenic) clostridium botulinum",Class II,0
15155,2022-08-26 11:24:00,2022-08-26 11:24:00,3,1,1,lamb's supreme,microbiological (pathogenic) listeria,Class I,0
15151,2022-08-24 14:32:00,2022-08-24 14:32:00,1,1,1,life120,microbiological (quality) generic e.coli,Class II,0
15144,2022-08-24 12:33:00,2022-08-24 12:33:00,2,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15139,2022-08-19 11:26:00,2022-08-19 11:26:00,2,2,1,supherb farms,microbiological (pathogenic) listeria,Class I,0
15132,2022-08-16 10:51:00,2022-08-16 10:51:00,1,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15126,2022-08-12 10:53:00,2022-08-12 10:53:00,1,1,1,green garden,microbiological (quality) generic e.coli,Class II,0
15129,2022-08-12 10:29:00,2022-08-12 10:29:00,1,1,1,supherb farms,microbiological (pathogenic) listeria,Class I,0
15131,2022-08-11 14:45:00,2022-08-11 14:45:00,3,3,1,crescent,microbiological (pathogenic) listeria,Class I,0
15113,2022-08-04 17:26:00,2022-08-04 17:26:00,1,1,1,sober island,microbiological (quality) generic e.coli,Class II,0
15114,2022-08-04 17:00:00,2022-08-04 17:00:00,1,1,1,mother dairy,microbiological (quality) generic e.coli,Class II,0
15093,2022-07-25 14:29:00,2022-07-25 14:29:00,1,1,1,irresistibles,microbiological (other),Class III,0
15071,2022-07-11 21:13:00,2022-07-11 21:13:00,1,1,1,none / aucune,microbiological (pathogenic) listeria,Class I,0
15064,2022-07-11 14:07:00,2022-07-11 14:07:00,5,1,2,"aliments sano halal food, none",microbiological (pathogenic) salmonella,Class III,0
15061,2022-07-01 20:10:00,2022-07-01 20:10:00,1,1,1,twa fungi,microbiological (pathogenic) listeria,Class I,0
15047,2022-06-29 11:58:00,2022-06-29 11:58:00,4,4,1,lao beijing,microbiological (quality) molds,Class III,0
15056,2022-06-24 20:08:00,2022-06-24 20:08:00,1,1,1,none/aucune,microbiological (other),Class II,0
15045,2022-06-19 14:09:00,2022-06-19 14:09:00,5,3,1,abbott,"microbiological (other), microbiological (pathogenic) salmonella",Class I,0
15036,2022-06-17 14:03:00,2022-06-17 14:03:00,1,1,1,irresistibles,microbiological (other),Class III,0
15042,2022-06-17 12:08:00,2022-06-17 12:08:00,7,7,1,revive superfoods,microbiological (other),Class II,0
15024,2022-06-10 18:29:00,2022-06-10 18:29:00,1,1,1,alasko,microbiological (other),Class I,0
15015,2022-06-01 21:57:00,2022-06-01 21:57:00,2,2,2,"none / aucune, tri-star seafood supply ltd.",microbiological (other),Class II,0
15016,2022-06-01 10:05:00,2022-06-01 10:05:00,1,1,1,none / aucune (épicerie frenette),microbiological (other),Class II,0
15006,2022-05-31 19:55:00,2022-05-31 19:55:00,1,1,1,tri-star seafood supply ltd.,microbiological (other),Class II,0
15003,2022-05-22 10:49:00,2022-05-22 10:49:00,11,8,1,jif,microbiological (pathogenic) salmonella,Class II,0
14992,2022-05-17 14:31:00,2022-05-17 14:31:00,1,1,1,suzie's,microbiological (quality) yeasts,Class III,0
14991,2022-05-15 14:10:00,2022-05-15 14:10:00,1,1,1,below zero,microbiological (other),Class II,0
14978,2022-05-05 14:02:00,2022-05-05 14:02:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14974,2022-05-02 14:30:00,2022-05-02 14:30:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14971,2022-04-29 16:55:00,2022-04-29 16:55:00,99,94,1,elite,microbiological (pathogenic) salmonella,Class II,0
14972,2022-04-29 15:45:00,2022-04-29 15:45:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14958,2022-04-23 09:41:00,2022-04-23 09:41:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14964,2022-04-22 17:53:00,2022-04-22 17:53:00,1,1,1,gpe,microbiological (pathogenic) salmonella,Class II,0
14956,2022-04-22 17:06:00,2022-04-22 17:06:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14957,2022-04-22 16:15:00,2022-04-22 16:15:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14942,2022-04-22 11:16:00,2022-04-22 11:16:00,12,12,5,"bigway foods, canadian gold, co-op clearview, pic-a-pop, true north arctica prairie crystal","microbiological (quality) molds, microbiological (quality) yeasts",Class III,0
14955,2022-04-22 09:22:00,2022-04-22 09:22:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14948,2022-04-21 17:59:00,2022-04-21 17:59:00,1,1,1,unknown,microbiological (pathogenic) salmonella,Class II,0
14952,2022-04-21 17:11:00,2022-04-21 17:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14951,2022-04-21 17:11:00,2022-04-21 17:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14950,2022-04-21 17:11:00,2022-04-21 17:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14953,2022-04-21 17:11:00,2022-04-21 17:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14954,2022-04-21 17:11:00,2022-04-21 17:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14947,2022-04-21 16:57:00,2022-04-21 16:57:00,4,4,1,wahu,microbiological (pathogenic) salmonella,Class II,0
14949,2022-04-21 16:11:00,2022-04-21 16:11:00,1,1,1,unknown,microbiological (pathogenic) salmonella,Class II,0
14959,2022-04-20 15:29:00,2022-04-20 15:29:00,2,2,1,gpe,microbiological (pathogenic) salmonella,Class II,0
14963,2022-04-19 15:59:00,2022-04-19 15:59:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14962,2022-04-19 15:58:00,2022-04-19 15:58:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14961,2022-04-19 15:47:00,2022-04-19 15:47:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14944,2022-04-14 16:51:00,2022-04-14 16:51:00,3,1,1,grainworks,microbiological (pathogenic) salmonella,Class II,0
14946,2022-04-14 16:28:00,2022-04-14 16:28:00,1,1,1,moulin abénakis,microbiological (pathogenic) salmonella,Class II,0
14945,2022-04-14 16:11:00,2022-04-14 16:11:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14936,2022-04-14 16:00:00,2022-04-14 16:00:00,1,1,1,none / aucune,microbiological (pathogenic) salmonella,Class II,0
14933,2022-04-13 20:27:00,2022-04-13 20:27:00,4,1,4,"joes gold, joyce point, read island gem, sawmill bay dd",microbiological (other),Class III,0
14960,2022-04-13 19:43:00,2022-04-13 19:43:00,1,1,1,none / aucun,microbiological (pathogenic) salmonella,Class II,0
14931,2022-04-12 17:46:00,2022-04-12 17:46:00,1,1,1,intercity packers ltd.,microbiological (other),Class III,0
14929,2022-04-11 22:48:00,2022-04-11 22:48:00,1,1,1,intercity packers ltd.,microbiological (other),Class II,0
14937,2022-04-11 21:17:00,2022-04-11 21:17:00,1,1,1,genesis food,microbiological (pathogenic) salmonella,Class II,0
14928,2022-04-11 20:55:00,2022-04-11 20:55:00,1,1,1,inari,microbiological (pathogenic) salmonella,Class II,0
14926,2022-04-11 10:00:00,2022-04-11 10:00:00,23,14,1,kinder,microbiological (pathogenic) salmonella,Class II,0
14927,2022-04-08 21:23:00,2022-04-08 21:23:00,1,1,1,verstegen,microbiological (pathogenic) salmonella,Class II,0
14924,2022-04-06 15:31:00,2022-04-06 15:31:00,2,2,1,union bay seafood ltd.,microbiological (other),Class III,0
14919,2022-04-06 10:51:00,2022-04-06 10:51:00,10,8,1,kinder,microbiological (pathogenic) salmonella,Class II,0
14902,2022-04-05 14:45:00,2022-04-05 14:45:00,1,1,1,co-op clearview,"microbiological (quality) molds, microbiological (quality) yeasts",Class III,0
14917,2022-04-04 18:55:00,2022-04-04 18:55:00,1,1,1,ming xiang,microbiological (pathogenic) listeria,Class I,0
14911,2022-03-31 18:12:00,2022-03-31 18:12:00,3,3,1,daily fresh shellfish inc.,microbiological (other),Class III,0
