BrandName,TotalRecalls,UniqueProducts,UniquePathogens,YearsActive,DominantPathogen,DominantClass,DominantSeason,FirstRecall,LastRecall,AvgDaysBetweenRecalls,ClassI,ClassII,ClassIII,UnknownClass,ClassI_Pct,ClassII_Pct,ClassIII_Pct,UnknownClass_Pct
Ocean Food,32,32,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Summer,2011-08-15,2011-08-15,0.0,32,0,0,0,100.0,0.0,0.0,0.0
Sysco,31,28,3,4,microbiological (pathogenic) listeria,Class I,Winter,2011-11-04,2019-09-30,93.1,21,10,0,0,67.74,32.26,0.0,0.0
Fontaine Santé,30,29,1,1,microbiological (pathogenic) listeria,Class I,Winter,2011-12-01,2011-12-10,0.3,30,0,0,0,100.0,0.0,0.0,0.0
Smith Snacks,30,30,1,1,microbiological (pathogenic) listeria,Class I,Spring,2018-04-18,2018-04-18,0.0,30,0,0,0,100.0,0.0,0.0,0.0
Bouvillons Bellerive Inc.,30,30,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,30,0,0,0,100.0,0.0,0.0,0.0
Sub Delicious,29,29,1,1,microbiological (pathogenic) listeria,Class I,Summer,2011-06-29,2011-06-29,0.0,29,0,0,0,100.0,0.0,0.0,0.0
B&C Foods,29,25,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-21,2012-09-27,0.2,29,0,0,0,100.0,0.0,0.0,0.0
River Ranch,29,24,1,1,microbiological (pathogenic) listeria,Class I,Spring,2012-05-20,2012-05-20,0.0,29,0,0,0,100.0,0.0,0.0,0.0
I.M. Healthy,28,15,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2017-03-09,2017-03-21,0.4,28,0,0,0,100.0,0.0,0.0,0.0
Apple Valley,28,22,1,1,microbiological (pathogenic) e.coli,Class II,Spring,2017-04-25,2017-06-28,2.3,0,28,0,0,0.0,100.0,0.0,0.0
Classic Sysco,28,13,1,2,microbiological (pathogenic) listeria,Class I,Fall,2013-10-23,2016-04-12,32.2,28,0,0,0,100.0,0.0,0.0,0.0
Sobeys,28,28,2,3,microbiological (pathogenic) listeria,Class I,Fall,2018-10-04,2020-08-07,24.0,28,0,0,0,100.0,0.0,0.0,0.0
Penguin Meat Supply,28,28,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,28,0,0,0,100.0,0.0,0.0,0.0
Fromagerie Marie-Kadé,27,24,1,1,microbiological (pathogenic) listeria,Class I,Fall,2011-11-22,2011-12-17,0.9,27,0,0,0,100.0,0.0,0.0,0.0
1001 Fondues,27,15,1,1,microbiological (pathogenic) listeria,Class I,Winter,2023-02-15,2023-02-22,0.3,27,0,0,0,100.0,0.0,0.0,0.0
Le Fromage Au Village,26,21,1,1,microbiological (pathogenic) listeria,Class I,Winter,2023-01-19,2023-02-13,0.9,26,0,0,0,100.0,0.0,0.0,0.0
Happy Apples,26,12,1,1,microbiological (pathogenic) listeria,Class I,Winter,2014-12-24,2014-12-24,0.0,26,0,0,0,100.0,0.0,0.0,0.0
Sabra,25,21,1,1,microbiological (pathogenic) listeria,Class I,Fall,2016-11-19,2016-11-19,0.0,25,0,0,0,100.0,0.0,0.0,0.0
Viandes Lauzon,25,13,1,3,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2013-11-18,2018-03-19,63.2,25,0,0,0,100.0,0.0,0.0,0.0
Clic,24,19,3,3,microbiological (pathogenic) listeria,Class I,Fall,2011-11-22,2016-03-31,66.2,13,9,2,0,54.17,37.5,8.33,0.0
Greenbelt Microgreens,24,15,1,1,microbiological (pathogenic) listeria,Class I,Spring,2018-04-24,2018-09-22,6.2,24,0,0,0,100.0,0.0,0.0,0.0
Glacial Treasure,23,18,1,1,microbiological (pathogenic) listeria,Class II,Fall,2019-09-26,2019-09-30,0.2,0,23,0,0,0.0,100.0,0.0,0.0
West Grey Premium Beef,22,22,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-11,0.0,22,0,0,0,100.0,0.0,0.0,0.0
Western Family,22,20,5,5,microbiological (pathogenic) listeria,Class I,Spring,2012-03-17,2019-11-03,126.7,18,2,2,0,81.82,9.09,9.09,0.0
Naked Teas Galore,22,9,1,1,microbiological (pathogenic) salmonella,Class III,Spring,2019-03-26,2019-03-26,0.0,0,0,22,0,0.0,0.0,100.0,0.0
No Name / Sans Nom,21,18,4,7,microbiological (pathogenic) salmonella,Class I,Summer,2012-03-13,2024-02-17,207.5,10,9,2,0,47.62,42.86,9.52,0.0
Sysco Natural,21,18,1,1,microbiological (pathogenic) listeria,Class I,Spring,2012-05-20,2012-05-20,0.0,21,0,0,0,100.0,0.0,0.0,0.0
Belmont Meats,21,13,1,2,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2013-10-08,2019-10-09,104.3,21,0,0,0,100.0,0.0,0.0,0.0
K & K Foodliner,20,11,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-04-25,2018-05-02,0.3,20,0,0,0,100.0,0.0,0.0,0.0
Circle K,20,20,1,1,microbiological (pathogenic) listeria,Class I,Summer,2011-06-29,2011-06-29,0.0,20,0,0,0,100.0,0.0,0.0,0.0
Muscle Mlk,20,11,1,1,microbiological (undetermined),Class III,Summer,2016-06-15,2016-06-15,0.0,0,0,20,0,0.0,0.0,100.0,0.0
Isle Of Kintyre,20,12,1,1,microbiological (pathogenic) listeria,Class I,Fall,2015-11-20,2015-11-26,0.2,20,0,0,0,100.0,0.0,0.0,0.0
Mccormick,20,18,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2013-05-24,2013-05-24,0.0,0,20,0,0,0.0,100.0,0.0,0.0
Pinty'S,20,10,1,1,microbiological (pathogenic) listeria,Class II,Fall,2018-08-09,2018-09-07,1.4,2,18,0,0,10.0,90.0,0.0,0.0
G. Lauzon,20,20,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,20,0,0,0,100.0,0.0,0.0,0.0
Mannarich,19,18,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Fall,2011-10-25,2011-10-25,0.0,19,0,0,0,100.0,0.0,0.0,0.0
Butcher'S Block Portioned Meats,19,9,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,19,0,0,0,100.0,0.0,0.0,0.0
Mann'S Snacking Favorites,19,4,1,2,microbiological (pathogenic) listeria,Class I,Fall,2017-10-19,2019-11-03,39.2,19,0,0,0,100.0,0.0,0.0,0.0
Prepared By Centennial Foods / Preparé Par  Centennial Foods,19,19,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-07,2019-10-07,0.0,19,0,0,0,100.0,0.0,0.0,0.0
Pratts Wholesale Limited,19,10,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-02-25,2014-03-17,1.0,19,0,0,0,100.0,0.0,0.0,0.0
Pc,19,18,4,5,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2012-03-17,2023-02-15,209.8,12,1,6,0,63.16,5.26,31.58,0.0
Fox Hill,18,18,1,1,microbiological (undetermined),Class III,Fall,2014-11-19,2014-11-19,0.0,0,0,18,0,0.0,0.0,100.0,0.0
Jimel'S Bakery,18,18,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-03-25,2022-03-25,0.0,0,18,0,0,0.0,100.0,0.0,0.0
Circle K / Couche Tard,18,16,1,1,microbiological (pathogenic) listeria,Class I,Fall,2022-10-06,2022-10-14,0.4,18,0,0,0,100.0,0.0,0.0,0.0
Eastcoast Kitchen,17,17,1,1,microbiological (pathogenic) listeria,Class I,Spring,2018-04-19,2018-04-19,0.0,17,0,0,0,100.0,0.0,0.0,0.0
Gfs,17,11,3,4,microbiological (pathogenic) e.coli,Class II,Spring,2012-04-25,2023-11-27,249.0,1,15,1,0,5.88,88.24,5.88,0.0
Pine Haven,17,17,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2018-04-24,2018-04-24,0.0,17,0,0,0,100.0,0.0,0.0,0.0
Perron,17,11,2,2,microbiological (pathogenic) staphylococcus aureus,Class II,Summer,2012-07-30,2017-07-21,106.9,4,13,0,0,23.53,76.47,0.0,0.0
Mann'S Sunny Shores,17,9,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2011-05-07,2011-05-10,0.1,0,17,0,0,0.0,100.0,0.0,0.0
Vasco Da Gama,17,16,1,1,microbiological (other),Class II,Spring,2015-05-19,2015-05-19,0.0,0,17,0,0,0.0,100.0,0.0,0.0
Pusateri'S Fine Foods,17,12,3,3,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-06-01,2019-10-15,158.3,16,1,0,0,94.12,5.88,0.0,0.0
To-Le-Do,17,13,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-28,2012-09-28,0.0,17,0,0,0,100.0,0.0,0.0,0.0
Ottenbreit'S,16,16,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-03,2012-10-03,0.0,16,0,0,0,100.0,0.0,0.0,0.0
Hygaard,16,13,1,3,microbiological (pathogenic) listeria,Class I,Winter,2011-10-12,2017-12-27,141.7,16,0,0,0,100.0,0.0,0.0,0.0
Deli Chef,16,9,1,2,microbiological (pathogenic) listeria,Class I,Fall,2012-04-13,2019-10-01,170.4,16,0,0,0,100.0,0.0,0.0,0.0
Le Petit Charcutier,16,2,1,1,microbiological (quality) acc,Class III,Fall,2012-10-19,2012-10-19,0.0,0,0,16,0,0.0,0.0,100.0,0.0
Celebrate,15,14,1,2,microbiological (pathogenic) salmonella,Class I,Spring,2019-04-26,2020-02-24,20.2,15,0,0,0,100.0,0.0,0.0,0.0
Intercity Packers Ltd,15,8,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-02-25,2014-03-17,1.3,15,0,0,0,100.0,0.0,0.0,0.0
Foodland,15,15,1,2,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2011-09-08,2019-10-11,196.9,15,0,0,0,100.0,0.0,0.0,0.0
Betty,15,15,1,1,microbiological (other),Class II,Winter,2019-02-08,2019-02-08,0.0,0,15,0,0,0.0,100.0,0.0,0.0
Killarney Market,15,10,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Spring,2015-05-09,2015-05-11,0.1,15,0,0,0,100.0,0.0,0.0,0.0
Fromagerie Bergeron,15,6,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2019-10-30,2019-10-30,0.0,0,15,0,0,0.0,100.0,0.0,0.0
Urban Fare,15,12,2,3,microbiological (pathogenic) salmonella,Class II,Fall,2019-10-03,2024-01-15,104.3,4,11,0,0,26.67,73.33,0.0,0.0
Centennial Foodservice - Richmond,15,15,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-27,2012-09-27,0.0,15,0,0,0,100.0,0.0,0.0,0.0
Mann'S Family Favourites,15,8,1,2,microbiological (pathogenic) listeria,Class I,Fall,2017-10-19,2019-11-03,49.6,15,0,0,0,100.0,0.0,0.0,0.0
Heinz,15,13,2,3,microbiological (other),Class III,Spring,2014-03-08,2017-04-06,74.9,0,2,13,0,0.0,13.33,86.67,0.0
Alasko,15,9,4,5,microbiological (virus) norovirus,Class I,Summer,2016-05-06,2023-06-16,173.1,10,1,4,0,66.67,6.67,26.67,0.0
Losos,15,12,1,1,microbiological (other),Class III,Winter,2016-02-19,2016-02-19,0.0,0,0,15,0,0.0,0.0,100.0,0.0
Simply Superior Cheese Company,14,11,1,1,microbiological (pathogenic) listeria,Class I,Spring,2014-02-28,2014-03-17,1.1,14,0,0,0,100.0,0.0,0.0,0.0
Le Petit Charcutier / The Deli-Shop,14,6,1,1,microbiological (pathogenic) listeria,Class I,Fall,2019-08-30,2019-09-12,0.9,14,0,0,0,100.0,0.0,0.0,0.0
Wonderful,14,3,1,1,microbiological (pathogenic) salmonella,Class I,Spring,2016-03-10,2016-03-10,0.0,14,0,0,0,100.0,0.0,0.0,0.0
Foxhill,14,14,1,1,microbiological (undetermined),Class III,Fall,2014-11-19,2014-11-19,0.0,0,0,14,0,0.0,0.0,100.0,0.0
"Reuven International, Ltd.",14,11,1,1,microbiological (pathogenic) listeria,Class II,Fall,2019-09-27,2019-09-30,0.1,0,14,0,0,0.0,100.0,0.0,0.0
The Garden Basket,14,14,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-15,2019-10-17,0.1,14,0,0,0,100.0,0.0,0.0,0.0
Kirkland Signature,14,13,5,6,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-09-16,2019-10-25,185.4,10,3,1,0,71.43,21.43,7.14,0.0
Gort'S Gouda Cheese Farm,14,14,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2013-09-17,2013-09-19,0.1,14,0,0,0,100.0,0.0,0.0,0.0
Newman'S Own,14,12,2,2,microbiological (quality) yeasts,Class III,Fall,2014-08-07,2015-09-29,29.8,0,0,14,0,0.0,0.0,100.0,0.0
Frontier,14,9,1,2,microbiological (pathogenic) salmonella,Class II,Spring,2014-04-05,2015-03-25,25.3,0,14,0,0,0.0,100.0,0.0,0.0
Trader Joe'S,14,14,2,4,microbiological (pathogenic) salmonella,Class I,Spring,2012-09-25,2016-12-02,109.2,7,7,0,0,50.0,50.0,0.0,0.0
Clef Des Champs,14,6,1,1,microbiological (pathogenic) salmonella,Class I,Fall,2012-10-12,2012-10-25,0.9,14,0,0,0,100.0,0.0,0.0,0.0
Chicago Gyros,14,5,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-05,2019-10-05,0.0,14,0,0,0,100.0,0.0,0.0,0.0
Block & Barrel Imperial,13,5,1,1,microbiological (pathogenic) listeria,Class I,Fall,2013-10-23,2013-11-03,0.8,13,0,0,0,100.0,0.0,0.0,0.0
Premier,13,3,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2014-09-11,2014-09-11,0.0,0,13,0,0,0.0,100.0,0.0,0.0
Alburj (Arabic Characters Only / En Caractères Arabes Uniquement),13,5,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2021-11-09,2021-11-20,0.8,0,13,0,0,0.0,100.0,0.0,0.0
Imperial Caviar & Seafood,13,5,1,3,microbiological (pathogenic) clostridium botulinum,Class I,Winter,2016-09-15,2018-01-31,38.6,13,0,0,0,100.0,0.0,0.0,0.0
Fresh Start Foods,13,12,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2023-10-03,2023-11-27,4.2,0,13,0,0,0.0,100.0,0.0,0.0
Ocean Chinese,13,11,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Fall,2011-10-25,2011-10-25,0.0,13,0,0,0,100.0,0.0,0.0,0.0
Yummy Market,13,12,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Fall,2017-10-14,2017-10-19,0.3,13,0,0,0,100.0,0.0,0.0,0.0
Randsland,13,9,1,3,microbiological (pathogenic) listeria,Class I,Summer,2018-08-03,2021-08-13,85.0,13,0,0,0,100.0,0.0,0.0,0.0
Dashing Dishes,13,13,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Winter,2016-02-18,2016-02-18,0.0,13,0,0,0,100.0,0.0,0.0,0.0
Gordon Choice / Gordon Choix,13,12,3,3,microbiological (pathogenic) listeria,Class II,Fall,2018-10-04,2021-11-03,86.6,2,11,0,0,15.38,84.62,0.0,0.0
Uncle Buck'S,13,3,1,1,microbiological (pathogenic) listeria,Class I,Summer,2016-05-11,2016-06-09,2.2,13,0,0,0,100.0,0.0,0.0,0.0
Vivi And Tom,12,12,1,1,microbiological (pathogenic) clostridium botulinum,Class I,Winter,2019-02-13,2019-02-14,0.0,12,0,0,0,100.0,0.0,0.0,0.0
None / Aucune - Al Marwa Halal Meat,12,12,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-11-06,2019-11-06,0.0,12,0,0,0,100.0,0.0,0.0,0.0
Island Pride,12,8,2,2,microbiological (pathogenic) listeria,Class I,Spring,2012-09-21,2014-03-17,45.1,12,0,0,0,100.0,0.0,0.0,0.0
Les Viandes P.P. Hallé Ltée,12,11,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2012-10-03,2012-10-05,0.2,12,0,0,0,100.0,0.0,0.0,0.0
None/Aucun,12,10,4,7,microbiological (pathogenic) vibrio parahaemolyticus,Class II,Fall,2011-09-19,2023-11-10,369.5,2,6,4,0,16.67,50.0,33.33,0.0
Malichita,12,3,1,1,microbiological (pathogenic) salmonella,Class II,Fall,2023-11-01,2023-12-01,2.4,0,12,0,0,0.0,100.0,0.0,0.0
Taylor Shellfish Canada Ulc,12,3,1,1,microbiological (other),Class II,Spring,2022-03-27,2022-03-27,0.0,0,12,0,0,0.0,100.0,0.0,0.0
Mother Dairy,11,2,1,2,microbiological (quality) generic e.coli,Class II,Winter,2022-08-04,2023-02-24,18.5,0,11,0,0,0.0,100.0,0.0,0.0
Yum Nature,11,11,1,1,microbiological (other),Class II,Spring,2013-03-22,2013-03-22,0.0,0,11,0,0,0.0,100.0,0.0,0.0
Mccain Jon-Lin,11,9,1,1,"microbiological (pathogenic) listeria, microbiological (pathogenic) salmonella",Class II,Fall,2018-10-12,2018-10-12,0.0,0,11,0,0,0.0,100.0,0.0,0.0
Québon,11,4,2,1,microbiological (quality) coliform,Class III,Fall,2013-10-25,2013-11-14,1.8,0,0,11,0,0.0,0.0,100.0,0.0
Farm Boy,11,8,1,1,microbiological (pathogenic) listeria,Class I,Fall,2019-10-03,2019-11-17,4.0,11,0,0,0,100.0,0.0,0.0,0.0
Il Villaggio,11,1,1,1,microbiological (pathogenic) listeria,Class I,Summer,2013-07-15,2013-07-18,0.2,11,0,0,0,100.0,0.0,0.0,0.0
Evening Cove Oysters Processing Ltd.,11,6,1,1,microbiological (pathogenic) vibrio parahaemolyticus,Class III,Summer,2015-08-18,2015-08-18,0.0,0,0,11,0,0.0,0.0,100.0,0.0
N/A / S.O.,11,11,2,2,microbiological (pathogenic) e.coli o157:h7,Class III,Winter,2015-03-26,2016-02-05,28.6,1,0,10,0,9.09,0.0,90.91,0.0
Macgregors Meat & Seafood Ltd.,11,11,1,1,microbiological (pathogenic) e.coli o157:h7,Class I,Fall,2019-10-11,2019-10-29,1.5,11,0,0,0,100.0,0.0,0.0,0.0
Jif,11,8,1,1,microbiological (pathogenic) salmonella,Class II,Spring,2022-05-22,2022-05-22,0.0,0,11,0,0,0.0,100.0,0.0,0.0
